review_body,course_title,score,course_stage,review_date,user_name
"""""""Great review of Microeconomics topics. The bite-sized learning approach definitely kept me engaged throughout the lessons, and it helps that the instructor's tone has a sprinkle of humor and enthusiasm.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-03-22,student
"""""""Learning is fun. Great course. The platform is easy and friendly, the certificate motivates me. The course seems  concise and complete :)  I am happy to be part of this. Thanks""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-03-22,student
"""""""Great content and very easy and creative new way to learn. I am lovinggg it. Thanks to the wonderful team. You're helping a lot to all the leaners out here. I loved the summary page too after the course completion. Its a great way to collect the notes.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-03-10,Rohit Agrawal
"""""""What a friendly platform to learn with a very nice and understandable content. The fact that they issue certificate at end of each course makes it more interesting. I love everything about this site. Keep up the good work.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-02-19,Samson Adeleke
"""""""It was awesome and interesting course i had ever seen.
Also new opportunity to learn.
facilitates ease of understanding, thus maximizing potential learning ability. Very satisfied.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-02-12,Aung Aung Oo
"""""""Excellent crash course. The contents were easy to understand with real word problems. Course nicely starts with basic theory and builds up the concepts as you go along. The feature I really like is testing of the skills as you along to make sure that we are grasping the contents.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-02-04,student
"""""""Awesome course. Direct with the utmost clarity. I have gone through a MOOC covering this subject before. This one seems the most concise, complete and clear.""""""",Microeconomics: Supply and Demand,10/10 stars,"""""""Completed""""""",2018-01-20,
"""""""Information provided is informative and educational, yet set forth in a manner that facilitates ease of understanding, thus maximizing potential learning ability. Very satisfied.""""""",Microeconomics: Supply and Demand,10/10 stars,,2018-01-17,student
"""""""It's a refresher for me because I was a Business major in college. Great refresher and executed flawlessly if you are new to the business basics. Even though I stumbled on a couple of the concepts,  I was still able to manage and complete the course with an 86% course grade. Everyone will learn from this course. And the all of this is absolutely free with no strings attached to debt! Just amazing!""""""",Finance: Time Value of Money,10/10 stars,,2016-05-12,student
"""""""I studied finance, so this was pretty breezy. However, I also wish I had this when I studied finance, because it was extremely well-explained and much better than the boring methods I used in university. Looking forward to seeing what the actual program is like!""""""",Finance: Time Value of Money,10/10 stars,,2016-04-30,Eddie Pugmire
"""""""This is amazing. This is the first coarse I've done and it made the material feel like a breeze. This was super fun and makes me want more! I hope more platforms like this launch for every subject!""""""",Finance: Time Value of Money,10/10 stars,,2016-04-21,student
"""""""loved every second of it, this is the future of education! content was straight forward, easy to understand and very concise in its message. I also didn't feel penalized for being wrong, unlike traditional schooling systems, when I was wrong, it felt okay because I knew that with every failure came progress and that makes all the difference in education""""""",Finance: Time Value of Money,10/10 stars,,2016-04-19,Matthew Zavala
"""""""Free education that teaches finance equations and terminology is awesome; when combined with 
the simplicity that they've incorporated into the lessons.""""""",Finance: Time Value of Money,10/10 stars,"""""""Completed""""""",2016-02-28,Brillo Louis
"""""""Its awesome. I always thought that videos can explain better. But the alternative to video here at smartly saves time and very effective even more than video lectures.""""""",Finance: Time Value of Money,10/10 stars,,2016-02-16,Ravindra Barthwal
"""""""The mechanism of learning is really great ! and specially for beginners like me who dont know much of the profession :) the matrix match type questions should be more challenging for a clear insight into the topic otherwise overall is really good !""""""",Finance: Time Value of Money,9/10 stars,,2016-03-28,Piyush Agarwal
"""""""Like the course so far (I'm still in progress). Content seems to be designed both for beginners and people who need some refreshment on their prior knowledge.  User interface is a bit too bright and playful to my taste but anyway I'm going to take more courses on Smart.ly platform.""""""",Finance: Time Value of Money,10/10 stars,,2016-03-16,Dmitry Kozhedubov
"""""""My first course at Smartly was a totally different learning experience. It was so much fun. I had never experienced this new style of online learning.""""""",Finance: Time Value of Money,10/10 stars,,2016-03-14,student
"""""""Really good so far, what would make this perfect is a downloadable outline of the lesson after you complete it. And if the certificate we get can be printed and updated to our linkedin profiles.""""""",Finance: Time Value of Money,8/10 stars,,2016-03-01,Chieme Atubi
"""""""I have a hard time doing more than one at a time. This is not the case with other learning aides. I believe the addition of sound would be a great option.""""""",Finance: Time Value of Money,8/10 stars,,2016-02-20,student
"""""""The speed is little bit slow. Since most of the fundamentals are already done in school. Otherwise the courses are awesome and add to my skills. The course material classification is also well done. It is easier to understand concepts in small chunks rather than learning all of it together.""""""",Finance: Time Value of Money,9/10 stars,,2016-02-15,student
"""""""I like the interface of how the Time Value of Money course was set up. It was enjoyable to click through and answer questions. I have never taken any finance courses.""""""",Finance: Time Value of Money,10/10 stars,"""""""Completed""""""",2015-10-01,Student
"""""""This active learning method is really something. So much better than even some of the best education money can buy in this country! Personally, I'm money-conscious and fairly good with numbers, but I didn't know any of the jargon. Smartly explained all of it in a simple, easy-to-understand format without being patronizing. Awesome experience.""""""",Finance: Time Value of Money,10/10 stars,,2017-01-23,Han-Gwon Lung
"""""""Loved the format. This is not something I consider myself good at however the format really worked for me and I ended up feeling successful and learning a lot.""""""",Finance: Time Value of Money,10/10 stars,,2017-01-20,Cameron Price
"""""""This is fantastic! Compounding and discounting can be a difficult concept for many students to grasp (take this from someone who has taught both in math), and this introduces it with patience and encouragement in clear and concise examples. Really well done!""""""",Finance: Time Value of Money,10/10 stars,,2017-01-17,Wei Styer
"""""""Very well-designed course, worth taking for anyone interested in the subject (or in online class design!). Could've used a real-world example or two, rather than toy examples, but I understand the writers' reluctance to bring in something too complex.""""""",Finance: Time Value of Money,9/10 stars,,2017-01-13,Aaron Gertler
"""""""This is fantastic! I am so excited to see Smartly emerge as a new player in field of higher education. A much needed change and shift in the landscape. Very excited to become a consumer in this new movement.Kudos.""""""",Finance: Time Value of Money,10/10 stars,,2017-01-09,Ashley Turner
"""""""Is wonderfull and it's good course that every good beginners should face, because it is way forward.infact i love the lesson because i gain one or two things in it,anyway my people is good to learn because knowledge is power.a man who has committed a mistake and doesn't correct or learn out of it is committing another mistake that is fact about life.""""""",Finance: Time Value of Money,10/10 stars,,2017-01-09,Adepoju Victor
"""""""It is wonderfull experience   that i belive that good people should pass through because is not possible to know everything expect u summit yourself to lea""""""",Finance: Time Value of Money,10/10 stars,,2017-01-09,student
"""""""I have greatly enjoyed the lessons thus far, very engaging, easy to understand format, crisp visuals and animations. On the whole not much to critique, and it's accessibility is definitely a strong point. If my classes in college were this smooth and purely interesting, I wouldn't have graduated, just stayed in class. Ok, slight exaggeration there, but seriously, try this system out and see how nicely the lessons are packaged together.  One thing I have noticed so far is that the sounds are actually a little distracting, or at the very least repetitive. This might be a little too persnickety, but I'd love it if you included variance in sounds, such as more celebratory cheers when you complete a lesson section. Another possibility would be changing the sounds based on the questions themselves, though this could be too time intensive. Anyways, incredible tool overall and awesome explanation of cash flows!""""""",Finance: Time Value of Money,9/10 stars,,2017-01-05,Jonathan Hafferkamp
"""""""Excellent work both content and provider. Lessons are awesome. Very very conducive for learning. Everyone will be benefited for this lesson. While I was studying the lessons, I feel I was in game. I was just spellbound. The lessons engaged me all time because of its quiz and real life mini examples/case fashion. In fact, You learn all the matter with enjoying a lot, but you do not perceive you are learning.""""""",Finance: Time Value of Money,10/10 stars,,2017-01-03,Arifur Rahman
"""""""WONDERFUL, GORGEOUS, AMAZING, DELICIOUS, STUDYING EXPERIENCE, EVERYTHING WAS SIMPLE AND SO CLEAR. TO BE STUDIED ALL OVER THE WORLD.
MY FORMER ECONOMICS PROFESSOR OF ORTA NOVA NEVER EXPLAINED IT SO WELL. WOW !!!""""""",Finance: Time Value of Money,10/10 stars,,2016-12-27,LUCIANO MAGALDI
"""""""“Practical and understandable – presented with verve and humour.And Enjoyed the course very much; there was good humour mixed in.  I’ll be looking to use a number of things I’ve learned. Thank you !""""""",Finance: Time Value of Money,10/10 stars,,2016-12-23,Abdelaziz Salhi
"""""""Wow!  It was fantastic, learning made so easy and straight forward. I recommend it to all aspiring business managers.  No matter your level of educatoin you should be about to cope with the system because it's self explanatory. It's a great opportunity for every one to learn in a very affordable way.""""""",Finance: Time Value of Money,10/10 stars,,2016-12-13,Paul Damies
